N,t,M1_B_crease_mean,M1_B_crease_median,M1_B_tube_mean,M1_B_tube_median,M2_h_crease_mean,M2_absh_crease_mean,M2_absh_crease_median,M3_cos_crease_mean,M3_cos_crease_std,M3_cos_tube_mean,M3_cos_tube_std,M4_Lambda,M4_om_at_peak,M4_product_at_peak,M4_product_field_max,M4_product_crease_mean,M4_product_crease_max,M4_om_max,M4_om_at_peak_frac,M5_gradp_crease_mean,M5_gradp_crease_max,M5_pres_align_crease_mean,M5_pres_align_crease_std,M6_Lambda_eta_crease_mean,M6_Lambda_eta_crease_max,M6_frac_crease_eta_gt1,M6_frac_domain_eta_gt1
128,0.0,0.011786511242622323,0.009683640160124504,0.06446745547900865,0.0413544371168363,-1.2175819934378504e-19,0.0007775661526740134,0.0003236232488769173,-6.571392194676711e-05,0.46003525727220207,6.893176016536255e-05,0.3341490763763029,50.59554236722919,0.0007899249059229443,0.039966679044553866,9.074125457854292,0.11871082017253878,0.84279049772895,3.5346084741250263,0.0002234830000848923,0.0493799451314436,0.13729143629398236,1.0027054093702612e-06,0.4983712367632056,3268.0520921492434,8578727.359744731,0.38413122258249094,0.012567520141601562
128,9.999999999999897,0.0036685040427496284,0.00344994544787643,0.038580644525514074,0.02883131389102123,-5.929094924566924e-19,0.0019962580077987693,0.00027246114034041306,-0.23090914870774015,0.5535174913027893,-0.10918094797792209,0.4450462028963991,57.51053834107845,0.0005168045165630519,0.029721705964641913,6.249502568672326,0.4394672621836724,2.6809906961022376,2.4971626556112274,0.00020695668958598708,0.02570693930822669,0.09048692431617465,1.6208451496644665e-15,0.4653865317754695,1.8977279506527998,14.482890454521812,0.9397291626931147,0.03072071075439453
128,20.00000000000146,0.002727052155500263,0.0022744757679947136,0.015822931422776257,0.011555876045062518,-9.528902557339699e-20,0.0012271049084285877,0.00013906671919504472,-0.26566149177996623,0.5894283508437975,-0.06491602465253297,0.4971735043672684,57.39625457364562,0.00028116945078185754,0.016138073375407617,3.6631248241714824,0.24137276931167215,3.534495907621173,1.8777311276517097,0.0001497389304790873,0.014788133188440904,0.05778198402438576,3.909136985123039e-15,0.5836286617992122,2.618076485383052,20.15751286183287,1.0,0.05193519592285156
128,30.00000000001368,0.0018125579386769884,0.0010883859388123721,0.013584546968952487,0.011218540235477227,2.1175339016310444e-20,0.0003673868358698964,3.039151887734174e-05,-0.14781222032114513,0.6802404103908898,-0.029188406532915632,0.4577822314305024,55.9850016462826,0.00032132458534086736,0.017989357439299532,3.1853111695546246,0.12186715263622837,2.1030668679919837,1.5432189468904123,0.00020821710748713702,0.008252618355460498,0.0489730297311208,8.090334725927633e-15,0.6297662564918406,3.572264548446331,14.766758188617635,1.0,0.06568050384521484
128,36.0000000000068,0.0012755202729112117,0.0006615924242869485,0.02054913210156477,0.014691780579930258,1.417122767119763e-08,6.557494338563589e-05,1.028578561883758e-05,-0.11315260280243372,0.680002499441735,-0.009659109813938636,0.501590267301431,64.94105161784968,1.3833809529108232e-05,0.0008983821387013184,3.78945533732834,0.05615973925066491,0.7702388685150606,1.3840340718142006,9.995281048951915e-06,0.005482449210608084,0.045575482938445565,4.176771493242256e-06,0.5856325154985224,4.014484326215091,23.915763241691824,1.0,0.061591148376464844
128,39.99999999999748,0.0012441554379565944,0.0006636443759494867,0.02314817008526109,0.016035445386892014,-6.617293442597014e-21,4.771348210981379e-05,8.574150379334798e-06,-0.1557421087343756,0.6608759386100298,-0.004177082373871243,0.5544467293081573,59.13484543009269,0.0001558145211237752,0.00921406762241836,2.5713951657443155,0.044395177550546075,0.542680908571792,1.2950141043218775,0.00012031878309569924,0.005621551111632813,0.04303852476738128,-7.552176190031513e-14,0.6081667745884313,4.068478262860738,16.53883316407411,1.0,0.05801868438720703
256,0.0,0.01222782790667771,0.009587323517374341,0.06779692749137188,0.042099727958468336,2.6966716298577985e-09,0.000793975715239985,0.0002947996921986202,-1.8413465007182802e-05,0.46864469682822457,-2.2280057183319003e-05,0.33454300411775895,101.21085796830842,0.00018892331721772748,0.019121091025825092,9.560076862674999,0.11200952101766853,0.8196832538365565,3.534608474125026,5.344957400536263e-05,0.04679881209766733,0.1400567511588436,-4.384550617518852e-06,0.49922985717682006,812.3317949718931,17143574.034659784,0.4182317774612125,0.012056827545166016
256,9.999999999999897,0.0032121637595442076,0.002812440319729066,0.05064172509108927,0.0360770875015549,1.4335473347759328e-11,0.0022080696958364514,0.00032250324570510586,-0.18932161446136947,0.5293680411519915,-0.10926437403993729,0.4439990325727705,113.2842624628398,0.00018302155923313745,0.020733462352524927,6.433973460282095,0.6160952617983401,2.9220688064126996,2.4989450992915634,7.32395278651872e-05,0.030194717133307503,0.09124498859840895,4.817623993484854e-06,0.44923833378724437,2.02255979296268,32.11628784513457,0.9425771727274352,0.021082043647766113
256,20.00000000000146,0.0020303640092300813,0.0017669343345029004,0.021242880203926614,0.016641369461735868,1.3471926546027543e-09,0.0012866151332331813,0.00014861966472792427,-0.184886575291118,0.5505899024085337,-0.06702464386593797,0.4967298734326799,113.5399784775797,0.0001622876754225483,0.01842613917465257,4.837923302388076,0.38222569125500094,2.9816905467760497,1.8836421077848724,8.615632170879612e-05,0.018325397368058213,0.06095171752362081,4.014846640340161e-06,0.5738931967009796,3.6138015842681286,39.67014545873239,1.0,0.03894686698913574
256,25.00000000000757,0.0017908079258125626,0.001564940003031834,0.019348810855929842,0.013961579300369831,2.7605191321143253e-09,0.0008529789969390726,8.511064991641233e-05,-0.10406666108535072,0.5755143327896747,-0.05090430045074251,0.46786306981517845,113.23957783187304,3.445501494427766e-05,0.003901671346480879,4.39980077002211,0.2991111516971645,2.344111969549983,1.7049563012806794,2.0208737853513752e-05,0.014939652285490119,0.05524329435081631,2.262649896635793e-06,0.5901641403729317,4.182242604732519,29.534229477673488,1.0,0.04908263683319092
256,28.000000000011237,0.0016085416403770324,0.001423258591609696,0.02210795010457931,0.016495028749046466,4.5977082681934673e-08,0.0005064562706604127,5.633684856581936e-05,-0.0477594771631082,0.5910638481574054,-0.04098858585253441,0.45668391838595274,113.7026507297898,1.147897564287171e-07,1.3051899582572063e-05,4.26888436221515,0.23154896724203258,1.945324631577383,1.6088904339186954,7.134715578433102e-08,0.012458426442218977,0.05190047218960315,4.6495539627196375e-06,0.5831833584406652,4.5586917340323545,79.48408997843923,1.0,0.05101513862609863
64,0.0,0.009961492879866066,0.006520475252111758,0.052820653650378184,0.039730049500839394,-8.475855366682678e-08,0.0005223949163991884,0.00017822024353457774,0.0006504418085414481,0.4430262881728127,0.0003184279316550891,0.33425664344107775,28.190888480043238,0.0007899248530830894,0.022268683440879913,9.65666135385497,0.0973033411620491,0.6812215803634796,3.534608474027748,0.00022348298514176203,0.04529389587727372,0.11330818086545183,-6.167570025890176e-07,0.4445223685870938,13093.696941841863,4291979.541967401,0.36613272311212813,0.013214111328125
64,9.999999999999897,0.0005824716797677855,0.000504704468791266,0.027566468650716325,0.02123352348494323,2.1171301003530828e-20,0.00015036515444990224,7.741032718530429e-05,0.03108683862425229,0.5801089393675346,-0.10405897689558469,0.43890621585276024,40.9547313093967,3.778414258061302e-05,0.001547439407144941,6.2351158789932,0.11177615484783229,0.4317735539428987,2.4207102828013936,1.5608700821845937e-05,0.004440174380545218,0.02902568331792727,-1.5338184151038013e-15,0.5193910326163559,4.155897540833325,26.881969658631277,1.0,0.16800689697265625
64,20.00000000000146,0.0012304869180299798,0.0009533630628058065,0.012339089522956913,0.008364731585969733,2.1171301003530828e-20,0.00043788571506849156,0.00022969870270307644,0.19732377159518474,0.7082865773281058,-0.05785147094260667,0.4982258196475024,31.54301963881945,0.0007082036015714762,0.02233888011265174,4.135337758009519,0.16070343885969143,0.7452161472907066,1.8717678526085704,0.00037836081038815546,0.005110738814631077,0.02047995385216782,9.77741491465462e-15,0.6700977265846974,3.6703015925836624,15.91026960251039,1.0,0.15876007080078125
64,30.00000000001368,0.0011373589478011622,0.0010165480064446674,0.009796466234618537,0.008032972020165952,-1.0585650501765414e-20,0.00027931796200256627,0.00022241535288630926,0.595132976689717,0.5975021381142848,-0.021262591578516395,0.4511442467325517,35.45840540396563,0.00018495699645555697,0.006558280162620973,3.641309086790762,0.12990156122301383,0.4428090956389884,1.5352228963103247,0.00012047566311059654,0.00446590703691366,0.0244997525850179,6.003029245826751e-14,0.80373688104126,3.434672249644163,9.865821395221534,1.0,0.17258453369140625
64,36.0000000000068,0.001100913752143934,0.0010237298880056583,0.010327003397721118,0.008563531832462156,3.704977675617895e-20,0.0001528045021391662,0.0001192767718131035,0.7446629716008136,0.5447807871904049,-0.013397196047912438,0.4987373561178367,34.03012406094103,4.9273166420134306e-05,0.0016767719661525638,3.7441155146010776,0.0820502310264301,0.28295478941170393,1.3726773638141772,3.5895664719946927e-05,0.004175399706421192,0.01789357219863562,-1.3441235581121651e-15,0.883680819848144,3.4303932074343653,5.773291788040458,1.0,0.17023468017578125
64,39.99999999999748,0.0010905704091024565,0.0010034199677416856,0.01123448296806457,0.009193957004447926,1.3232063127206766e-20,0.00011008316349689478,8.233480256028508e-05,0.8587443028557148,0.3775073032595599,-0.006245061029476238,0.552450326929616,34.36256941176082,0.00017032722805630063,0.005852881196797446,2.3777911919883596,0.0627593299015156,0.18714096690498377,1.2846426967905185,0.00013258723883445328,0.0036471749052263873,0.010499501033455079,2.059544161623479e-15,0.9330348023792786,3.541077042281129,5.190372982992622,1.0,0.1618804931640625
