N,t,P_sup,P_p99,P_p99_masked,P_top100,om_at_Pmax,gradxi_at_Pmax,Lambda_sup,om_at_gradmax,sep_cells,om_max
128,0.0,9.074125457854292,0.49776319099176203,3.228311722369659,7.979604224229616,3.1728228883219662,2.8599533529756496,50.59554236722919,0.0007899249059229443,12.165525060596439,3.5346084741250263
128,9.999999999999897,6.249502568672326,1.8737645115074655,2.75423272578056,4.483046232552892,2.4017026769862975,2.6021133375736256,57.51053834107845,0.0005168045165630519,31.400636936215164,2.4971626556112274
128,20.00000000000146,3.6631248241714824,1.5452686085942982,2.4583823385840544,3.520932584886608,1.5978211836303964,2.2925749525040886,57.39625457364562,0.00028116945078185754,42.77849927241488,1.8777311276517097
128,30.00000000001368,3.1853111695546246,1.052252011274089,1.4333215766448129,2.6892361656306307,1.47094324417791,2.1654888332111355,55.9850016462826,0.00032132458534086736,101.71037311896953,1.5432189468904123
128,36.0000000000068,3.78945533732834,0.7264582828252476,1.0384327885727647,3.029141016818984,1.1743648390842807,3.2268126660563126,64.94105161784968,1.3833809529108232e-05,133.91415160467545,1.3840340718142006
128,39.99999999999748,2.5713951657443155,0.7429178975420185,1.0643936135192502,2.2554173071266677,1.260357843711878,2.0402103883221794,59.13484543009269,0.0001558145211237752,40.311288741492746,1.2950141043218775
256,0.0,9.560076862674999,0.47344438492069224,2.0788605001399105,9.125791999529472,3.5104674619705705,2.723305931828387,101.21085796830842,0.00018892331721772748,133.27415353323389,3.534608474125026
256,9.999999999999897,6.433973460282095,1.6533025175640876,2.5206910349124825,5.944987219944758,2.4940010439475335,2.5797797783189087,113.2842624628398,0.00018302155923313745,66.03029607687671,2.4989450992915634
256,20.00000000000146,4.837923302388076,1.134726808799842,1.725254462624597,3.7364653361597187,1.5403434657146176,3.140808144463806,113.5399784775797,0.0001622876754225483,68.24954212300622,1.8836421077848724
256,25.00000000000757,4.39980077002211,1.1089832433084272,1.5957376405588273,3.914919012157174,1.6367108240009638,2.6881967819255523,113.23957783187304,3.445501494427766e-05,204.57028132160352,1.7049563012806794
256,28.000000000011237,4.26888436221515,0.7744468062839107,1.1457123343832432,4.035931468202883,1.5232453770426158,2.8024929053145717,113.7026507297898,1.147897564287171e-07,157.64517119150844,1.6088904339186954
64,0.0,9.65666135385497,0.7823548888152955,3.9128696889301713,6.515861137859208,3.534608474027748,2.7320314045563965,28.190888480043238,0.0007899248530830894,7.0710678118654755,3.534608474027748
64,9.999999999999897,6.2351158789932,2.462812467577583,3.854548537723117,4.846128695822025,2.0734789006488623,3.007079491882951,40.9547313093967,3.778414258061302e-05,52.01922721455981,2.4207102828013936
64,20.00000000000146,4.135337758009519,2.1222958242214047,3.1717243799579595,3.902759593161942,1.7686942551946971,2.3380738337697053,31.54301963881945,0.0007082036015714762,42.40283009422838,1.8717678526085704
64,30.00000000001368,3.641309086790762,1.2148117807277055,1.7467519662493534,2.755013012200189,1.3534660644967875,2.6903586150455747,35.45840540396563,0.00018495699645555697,36.72873534441391,1.5352228963103247
64,36.0000000000068,3.7441155146010776,1.0949480038428077,1.4788042058686512,2.4653367471002983,1.03619575714846,3.613328358827321,34.03012406094103,4.9273166420134306e-05,22.80350850198276,1.3726773638141772
64,39.99999999999748,2.3777911919883596,0.9894158125440906,1.3225301947395023,1.741950723952213,1.1630139465645795,2.0445078917687134,34.36256941176082,0.00017032722805630063,23.853720883753127,1.2846426967905185
