run_label,Re,N,t,Lambda_max,I_xi_L2,I_xi_turb
V5_Re6400_N128,6400.0,128,3.54,98.36,0.060918,0.010001
V5_Re6400_N128,6400.0,128,4.05,80.36,0.065790,0.012222
V5_Re6400_N128,6400.0,128,4.56,65.82,0.070510,0.014327
V5_Re6400_N128,6400.0,128,5.07,54.55,0.075039,0.016083
V5_Re6400_N128,6400.0,128,5.58,50.71,0.079406,0.017661
V5_Re6400_N128,6400.0,128,6.09,58.87,0.082948,0.018812
V5_Re6400_N128,6400.0,128,6.60,63.77,0.086184,0.019699
V5_Re6400_N128,6400.0,128,7.11,64.04,0.089205,0.020323
V5_Re6400_N128,6400.0,128,7.62,65.72,0.091013,0.020546
V5_Re6400_N128,6400.0,128,8.13,59.54,0.092439,0.020499
V5_Re6400_N128,6400.0,128,8.64,56.73,0.092674,0.020866
V5_Re6400_N128,6400.0,128,9.15,58.27,0.092985,0.021263
V5_Re6400_N128,6400.0,128,9.66,54.02,0.091840,0.021587
V5_Re6400_N128,6400.0,128,10.17,50.47,0.090896,0.022062
V5_Re6400_N128,6400.0,128,10.68,47.42,0.090594,0.022936
V5_Re6400_N128,6400.0,128,11.19,42.13,0.092789,0.024759
V5_Re6400_N128,6400.0,128,11.70,44.62,0.095349,0.026571
V5_Re6400_N128,6400.0,128,12.21,55.47,0.097110,0.027863
V5_Re6400_N128,6400.0,128,12.72,70.86,0.099151,0.029512
V5_Re6400_N128,6400.0,128,13.23,84.12,0.101255,0.030965
V5_Re6400_N128,6400.0,128,13.74,96.45,0.102997,0.032256
V5_Re6400_N128,6400.0,128,14.25,102.26,0.104626,0.033395
V5_Re6400_N128,6400.0,128,14.76,110.09,0.106440,0.034574
V5_Re6400_N128,6400.0,128,15.27,128.53,0.108189,0.035673
V5_Re6400_N128,6400.0,128,15.78,131.43,0.110004,0.036899
V5_Re6400_N128,6400.0,128,16.28,159.44,0.111454,0.037868
V5_Re6400_N128,6400.0,128,16.78,157.79,0.112840,0.038853
V5_Re6400_N128,6400.0,128,17.28,184.82,0.114261,0.039695
V5_Re6400_N128,6400.0,128,17.78,200.15,0.115638,0.040730
V5_Re6400_N128,6400.0,128,18.28,231.11,0.117117,0.041747
V5_Re6400_N128,6400.0,128,18.78,265.60,0.118535,0.042748
V5_Re6400_N128,6400.0,128,19.28,304.89,0.119702,0.043599
V5_Re6400_N128,6400.0,128,19.78,361.92,0.120898,0.044458
